year,city,country,avg_temp
1808,Cairo,Egypt,17.11
1809,Cairo,Egypt,19.87
1810,Cairo,Egypt,19.93
1811,Cairo,Egypt,20.00
1812,Cairo,Egypt,19.93
1813,Cairo,Egypt,20.51
1814,Cairo,Egypt,20.43
1815,Cairo,Egypt,20.30
1816,Cairo,Egypt,20.51
1817,Cairo,Egypt,21.88
1818,Cairo,Egypt,11.60
1819,Cairo,Egypt,20.31
1820,Cairo,Egypt,20.58
1821,Cairo,Egypt,20.63
1822,Cairo,Egypt,20.72
1823,Cairo,Egypt,20.71
1824,Cairo,Egypt,21.44
1825,Cairo,Egypt,21.00
1826,Cairo,Egypt,20.94
1827,Cairo,Egypt,21.63
1828,Cairo,Egypt,20.99
1829,Cairo,Egypt,20.91
1830,Cairo,Egypt,21.25
1831,Cairo,Egypt,20.52
1832,Cairo,Egypt,20.20
1833,Cairo,Egypt,20.81
1834,Cairo,Egypt,20.69
1835,Cairo,Egypt,20.17
1836,Cairo,Egypt,20.59
1837,Cairo,Egypt,20.27
1838,Cairo,Egypt,20.21
1839,Cairo,Egypt,20.43
1840,Cairo,Egypt,20.56
1841,Cairo,Egypt,20.91
1842,Cairo,Egypt,20.92
1843,Cairo,Egypt,20.83
1844,Cairo,Egypt,20.66
1845,Cairo,Egypt,20.90
1846,Cairo,Egypt,21.57
1847,Cairo,Egypt,21.10
1848,Cairo,Egypt,20.89
1849,Cairo,Egypt,20.90
1850,Cairo,Egypt,20.39
1851,Cairo,Egypt,21.11
1852,Cairo,Egypt,21.04
1853,Cairo,Egypt,21.53
1854,Cairo,Egypt,20.74
1855,Cairo,Egypt,21.04
1856,Cairo,Egypt,20.49
1857,Cairo,Egypt,20.29
1858,Cairo,Egypt,20.90
1859,Cairo,Egypt,20.98
1860,Cairo,Egypt,21.33
1861,Cairo,Egypt,20.21
1862,Cairo,Egypt,20.22
1863,Cairo,Egypt,20.60
1864,Cairo,Egypt,21.25
1865,Cairo,Egypt,21.55
1866,Cairo,Egypt,21.35
1867,Cairo,Egypt,21.45
1868,Cairo,Egypt,20.94
1869,Cairo,Egypt,21.41
1870,Cairo,Egypt,21.30
1871,Cairo,Egypt,20.87
1872,Cairo,Egypt,21.14
1873,Cairo,Egypt,21.40
1874,Cairo,Egypt,20.77
1875,Cairo,Egypt,19.99
1876,Cairo,Egypt,21.05
1877,Cairo,Egypt,21.39
1878,Cairo,Egypt,21.54
1879,Cairo,Egypt,21.49
1880,Cairo,Egypt,21.20
1881,Cairo,Egypt,21.56
1882,Cairo,Egypt,20.38
1883,Cairo,Egypt,20.65
1884,Cairo,Egypt,20.23
1885,Cairo,Egypt,20.91
1886,Cairo,Egypt,20.55
1887,Cairo,Egypt,21.21
1888,Cairo,Egypt,21.04
1889,Cairo,Egypt,21.05
1890,Cairo,Egypt,21.09
1891,Cairo,Egypt,21.13
1892,Cairo,Egypt,21.39
1893,Cairo,Egypt,20.57
1894,Cairo,Egypt,20.95
1895,Cairo,Egypt,20.97
1896,Cairo,Egypt,21.17
1897,Cairo,Egypt,20.82
1898,Cairo,Egypt,20.92
1899,Cairo,Egypt,21.04
1900,Cairo,Egypt,21.57
1901,Cairo,Egypt,21.89
1902,Cairo,Egypt,21.36
1903,Cairo,Egypt,20.39
1904,Cairo,Egypt,20.61
1905,Cairo,Egypt,21.03
1906,Cairo,Egypt,21.24
1907,Cairo,Egypt,20.45
1908,Cairo,Egypt,20.37
1909,Cairo,Egypt,21.40
1910,Cairo,Egypt,20.65
1911,Cairo,Egypt,20.78
1912,Cairo,Egypt,20.79
1913,Cairo,Egypt,20.40
1914,Cairo,Egypt,20.96
1915,Cairo,Egypt,21.57
1916,Cairo,Egypt,21.73
1917,Cairo,Egypt,21.12
1918,Cairo,Egypt,21.43
1919,Cairo,Egypt,21.43
1920,Cairo,Egypt,20.72
1921,Cairo,Egypt,20.73
1922,Cairo,Egypt,21.39
1923,Cairo,Egypt,21.39
1924,Cairo,Egypt,21.61
1925,Cairo,Egypt,21.37
1926,Cairo,Egypt,21.22
1927,Cairo,Egypt,21.76
1928,Cairo,Egypt,21.72
1929,Cairo,Egypt,21.07
1930,Cairo,Egypt,21.73
1931,Cairo,Egypt,21.60
1932,Cairo,Egypt,21.43
1933,Cairo,Egypt,21.24
1934,Cairo,Egypt,21.52
1935,Cairo,Egypt,21.61
1936,Cairo,Egypt,22.00
1937,Cairo,Egypt,21.82
1938,Cairo,Egypt,20.92
1939,Cairo,Egypt,21.85
1940,Cairo,Egypt,21.59
1941,Cairo,Egypt,21.76
1942,Cairo,Egypt,21.59
1943,Cairo,Egypt,21.35
1944,Cairo,Egypt,21.40
1945,Cairo,Egypt,20.83
1946,Cairo,Egypt,21.76
1947,Cairo,Egypt,21.94
1948,Cairo,Egypt,20.88
1949,Cairo,Egypt,20.68
1950,Cairo,Egypt,21.53
1951,Cairo,Egypt,21.82
1952,Cairo,Egypt,21.92
1953,Cairo,Egypt,21.17
1954,Cairo,Egypt,21.45
1955,Cairo,Egypt,22.10
1956,Cairo,Egypt,21.48
1957,Cairo,Egypt,21.49
1958,Cairo,Egypt,21.85
1959,Cairo,Egypt,20.98
1960,Cairo,Egypt,22.30
1961,Cairo,Egypt,21.14
1962,Cairo,Egypt,22.11
1963,Cairo,Egypt,22.09
1964,Cairo,Egypt,21.07
1965,Cairo,Egypt,21.52
1966,Cairo,Egypt,22.10
1967,Cairo,Egypt,20.92
1968,Cairo,Egypt,21.48
1969,Cairo,Egypt,21.88
1970,Cairo,Egypt,21.53
1971,Cairo,Egypt,21.41
1972,Cairo,Egypt,21.57
1973,Cairo,Egypt,21.42
1974,Cairo,Egypt,21.55
1975,Cairo,Egypt,21.35
1976,Cairo,Egypt,21.28
1977,Cairo,Egypt,21.57
1978,Cairo,Egypt,21.67
1979,Cairo,Egypt,22.06
1980,Cairo,Egypt,21.52
1981,Cairo,Egypt,21.42
1982,Cairo,Egypt,21.04
1983,Cairo,Egypt,20.75
1984,Cairo,Egypt,21.32
1985,Cairo,Egypt,21.72
1986,Cairo,Egypt,21.52
1987,Cairo,Egypt,21.24
1988,Cairo,Egypt,21.65
1989,Cairo,Egypt,21.43
1990,Cairo,Egypt,21.60
1991,Cairo,Egypt,21.65
1992,Cairo,Egypt,21.11
1993,Cairo,Egypt,21.79
1994,Cairo,Egypt,22.02
1995,Cairo,Egypt,21.56
1996,Cairo,Egypt,21.88
1997,Cairo,Egypt,21.45
1998,Cairo,Egypt,22.36
1999,Cairo,Egypt,22.28
2000,Cairo,Egypt,21.49
2001,Cairo,Egypt,22.33
2002,Cairo,Egypt,22.41
2003,Cairo,Egypt,22.17
2004,Cairo,Egypt,22.08
2005,Cairo,Egypt,22.01
2006,Cairo,Egypt,22.05
2007,Cairo,Egypt,22.36
2008,Cairo,Egypt,22.64
2009,Cairo,Egypt,22.63
2010,Cairo,Egypt,23.72
2011,Cairo,Egypt,21.99
2012,Cairo,Egypt,22.48
2013,Cairo,Egypt,22.91
